0    0.00146   0.0004
1    0.00146   0.0004
2    0.00146   0.0004
3    0.00146   0.0004
4    0.00146   0.0004
5    0.00146   0.0004
6    0.00146   0.0004
7    0.00146   0.0004
8    0.00146   0.0004
9    0.00146   0.0004
10    0.00146   0.0004
11    0.00146   0.0004
12    0.00146   0.0004
13    0.00146   0.0004
14    0.00146   0.0004
15    0.00146   0.0004
16    0.00146   0.0004
17    0.00146   0.0004
18    0.00146   0.0004
19    0.00146   0.0004
20    0.00146   0.0004
21    0.00117   0.00039
22    0.00099   0.00038
23    0.0009   0.00037
24    0.00084   0.00036
25    0.00081   0.00036
26    0.00078   0.00035
27    0.00078   0.00034
28    0.00078   0.00033
29    0.00078   0.00032
30    0.00078   0.00032
31    0.00077   0.00034
32    0.00078   0.00036
33    0.00079   0.00039
34    0.00082   0.00043
35    0.00085   0.00049
36    0.0009   0.00056
37    0.00095   0.00063
38    0.00103   0.00071
39    0.00112   0.00078
40    0.00122   0.00085
41    0.00133   0.00093
42    0.00146   0.00101
43    0.00161   0.00108
44    0.00177   0.00116
45    0.00198   0.00126
46    0.00221   0.00136
47    0.00248   0.00147
48    0.00276   0.0016
49    0.00305   0.00175
50    0.00341   0.00194
51    0.00377   0.00218
52    0.0042   0.00247
53    0.00468   0.00282
54    0.00519   0.00325
55    0.00577   0.00377
56    0.00644   0.0043
57    0.00715   0.00485
58    0.00795   0.00536
59    0.00884   0.00584
60    0.00983   0.00619
61    0.01092   0.00646
62    0.01214   0.00668
63    0.01347   0.00688
64    0.01492   0.00709
65    0.0165   0.00731
66    0.01822   0.00758
67    0.02009   0.00792
68    0.02212   0.00839
69    0.02432   0.00909
70    0.02671   0.0101
71    0.02932   0.01151
72    0.0322   0.01334
73    0.03542   0.01516
74    0.03909   0.01834
75    0.04333   0.02155
76    0.04821   0.02525
77    0.05375   0.02944
78    0.05995   0.03412
79    0.06681   0.03929
80    0.07433   0.04495
81    0.08251   0.0511
82    0.09135   0.05775
83    0.10086   0.06491
84    0.11104   0.07259
85    0.12189   0.0808
86    0.13342   0.08956
87    0.14564   0.09891
88    0.15857   0.10894
89    0.17226   0.11989
90    0.18684   0.13221
91    0.20247   0.14644
92    0.21947   0.16328
93    0.23832   0.18353
94    0.25966   0.20809
95    0.28429   0.23796
96    0.31317   0.27424
97    0.34742   0.31813
98    0.38832   0.37093
99    0.43731   0.43404
100    0.49599   0.50896
101    0.56612   0.59729
102    0.64962   0.70073
103    0.74857   1
104    0.86521   1
105    1   1
106    1   1
107    1   1
108    1   1
109    1   1
110    1   1
111    1   1
112    1   1
113    1   1
114    1   1
115    1   1
116    1   1
117    1   1
118    1   1
119    1   1
120    1   1
121    1   1
122    1   1
123    1   1
124    1   1
125    1   1
126    1   1
127    1   1
128    1   1
129    1   1
130    1   1
131    1   1
