0	0.0030963	0.0015621
1	0.001177	0.0012181
2	0.0008051	0.0009326
3	0.0007193	0.0007009
4	0.0006431	0.0005192
5	0.000577	0.0003847
6	0.0005217	0.0002953
7	0.0004779	0.0002503
8	0.0004462	0.0002457
9	0.0004274	0.0002721
10	0.0004221	0.0003165
11	0.0004308	0.000367
12	0.0004532	0.0004139
13	0.0004962	0.0004516
14	0.0005911	0.00053
15	0.0007715	0.0007348
16	0.0010666	0.0009915
17	0.0014749	0.0011118
18	0.0018876	0.0010447
19	0.002177	0.000939
20	0.0022539	0.0008533
21	0.0021744	0.0007775
22	0.0020281	0.000714
23	0.0018632	0.000668
24	0.0017139	0.0006333
25	0.0015934	0.0006132
26	0.0014966	0.0006047
27	0.001421	0.0006056
28	0.0013651	0.0006148
29	0.001327	0.0006311
30	0.001305	0.000653
31	0.0012974	0.0006792
32	0.0013024	0.0007087
33	0.0013178	0.0007413
34	0.0013421	0.000778
35	0.0013735	0.0008183
36	0.0014106	0.0008626
37	0.0014694	0.0009199
38	0.0015394	0.0009841
39	0.001623	0.0010554
40	0.0017236	0.0011357
41	0.001843	0.001225
42	0.0019837	0.0013235
43	0.0021484	0.0014321
44	0.00234	0.0015532
45	0.0025613	0.0016872
46	0.0028134	0.0018321
47	0.0030975	0.0019884
48	0.0034166	0.0021576
49	0.0037728	0.0023407
50	0.0041663	0.0025366
51	0.0045976	0.0027429
52	0.0050701	0.0029614
53	0.0055866	0.0031958
54	0.0061539	0.0034479
55	0.0067769	0.003719
56	0.0074513	0.0040075
57	0.0081765	0.0043134
58	0.0089587	0.0046428
59	0.0098148	0.0050069
60	0.0107519	0.0054154
61	0.0117456	0.0058241
62	0.0127881	0.0061992
63	0.0139084	0.0065927
64	0.015062	0.007005
65	0.0162711	0.0074468
66	0.0175513	0.0079698
67	0.0189045	0.008635
68	0.0203328	0.0095023
69	0.0218384	0.0106307
70	0.0234233	0.0120778
71	0.025106	0.0139133
72	0.02697	0.0161002
73	0.0291147	0.0186565
74	0.0316391	0.0215794
75	0.0346415	0.0248663
76	0.0382196	0.0285157
77	0.0424709	0.0325259
78	0.0474922	0.0368958
79	0.0533799	0.0416247
80	0.0602302	0.0467116
81	0.0677816	0.0521559
82	0.0756701	0.0579572
83	0.0839086	0.064115
84	0.0924972	0.0706289
85	0.1014361	0.0774984
86	0.1107253	0.0847235
87	0.1203649	0.0923037
88	0.1303548	0.1002388
89	0.1406952	0.1085285
90	0.1513858	0.1171726
91	0.1624268	0.1261708
92	0.1738179	0.1355231
93	0.1855593	0.145229
94	0.1976508	0.1552886
95	0.2100923	0.1657013
96	0.2228836	0.1764673
97	0.2360248	0.1875861
98	0.2495156	0.1990577
99	0.2633561	0.2108817
100	0.2775459	0.223058
101	0.2920851	0.2355863
102	0.3069733	0.2484665
103	0.3222107	0.2616983
104	0.3377968	0.2752815
105	0.3537315	0.2892156
106	0.3700147	0.3035008
107	0.3866462	0.3181364
108	0.4036256	0.3331225
109	0.420953	0.3484585
110	0.4386277	0.3641443
111	0.4566499	0.3801795
112	0.4750189	0.3965638
113	0.4937348	0.4132968
114	0.5127969	0.4303782
115	0.532205	0.4478075
116	0.5519587	0.4655844
117	0.5720575	0.4837083
118	0.592501	0.5021789
119	0.6132887	0.5209955
120	0.6344198	0.5401576
121	1	1
