
 Pensionskasse: N 656
 Erwartungswert: 2119206.848339998
 3.4 ES  Index 2882.0 Prob 5.226627e-05 E((S-X)+) 397.8131
 3.45 ES  Index 2925.0 Prob 4.0371622e-05 E((S-X)+) 311.5144
 3.5 ES  Index 2967.0 Prob 3.1316376e-05 E((S-X)+) 244.85338
 3.55 ES  Index 3009.0 Prob 2.4250578e-05 E((S-X)+) 192.09608
 3.6 ES  Index 3052.0 Prob 1.863249e-05 E((S-X)+) 149.55199
 3.65 ES  Index 3094.0 Prob 1.4379843e-05 E((S-X)+) 116.89572
 3.7 ES  Index 3136.0 Prob 1.107978e-05 E((S-X)+) 91.20795
 3.75 ES  Index 3179.0 Prob 8.4701915e-06 E((S-X)+) 70.61789
 3.8 ES  Index 3221.0 Prob 6.5054496e-06 E((S-X)+) 54.906834
 3.85 ES  Index 3264.0 Prob 4.957209e-06 E((S-X)+) 42.36203
 3.9 ES  Index 3306.0 Prob 3.795548e-06 E((S-X)+) 32.825993
 3.95 ES  Index 3348.0 Prob 2.901767e-06 E((S-X)+) 25.395136
